exception_id,project_id,project_name,location,risk_score,risk_level,exception_summary,recommended_action,financial_exposure,status
EX-CAPEX-1243,CAPEX-1243,E-Enable Extensible Portals,Plant A,100,Critical,Missing approval; Budget overrun 17.1%; Project delayed by 58 days; Low ROI -3.0%; Missing supporting documents,"Hold further spend until approval is obtained; Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",60922.28,Open
EX-CAPEX-1242,CAPEX-1242,Productize Cross-Media Users,Plant B,100,Critical,Missing approval; Budget overrun 35.6%; Project delayed by 52 days; Low ROI -8.2%,Hold further spend until approval is obtained; Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,141492.28,Open
EX-CAPEX-1110,CAPEX-1110,Optimize User-Centric E-Commerce,HQ,100,Critical,Missing approval; Budget overrun 33.9%; Project delayed by 111 days; Missing supporting documents,"Hold further spend until approval is obtained; Request variance explanation and approval; Review delivery plan and capitalization timing; Attach quotation, approval memo, invoice, and completion certificate",127433.81,Open
EX-CAPEX-1096,CAPEX-1096,Revolutionize Innovative Action-Items,Plant A,100,Critical,Missing approval; Budget overrun 38.5%; Project delayed by 101 days; Low ROI -8.5%,Hold further spend until approval is obtained; Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,12644.54,Open
EX-CAPEX-1115,CAPEX-1115,Empower Transparent Applications,HQ,88,Critical,Missing approval; Budget overrun 23.3%; Project delayed by 108 days; Low ROI 3.2%,Hold further spend until approval is obtained; Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,52011.27,Open
EX-CAPEX-1093,CAPEX-1093,Expedite World-Class Architectures,Plant C,85,Critical,Missing approval; Budget overrun 20.6%; Project delayed by 61 days; Low ROI 3.7%,Hold further spend until approval is obtained; Request variance explanation and approval; Review delivery plan and capitalization timing; Revalidate the business case,8547.13,Open
EX-CAPEX-1038,CAPEX-1038,Deploy Scalable Architectures,HQ,85,Critical,Missing approval; Project delayed by 71 days; Low ROI 1.7%; Missing supporting documents,"Hold further spend until approval is obtained; Review delivery plan and capitalization timing; Revalidate the business case; Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1223,CAPEX-1223,Seize Bleeding-Edge Web-Readiness,Plant B,80,Critical,Missing approval; Project delayed by 85 days; Low ROI 2.9%; Capitalization rule requires review,Hold further spend until approval is obtained; Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1044,CAPEX-1044,Facilitate Virtual Roi,Plant A,80,Critical,Missing approval; Project delayed by 66 days; Low ROI -4.7%; Capitalization rule requires review,Hold further spend until approval is obtained; Review delivery plan and capitalization timing; Revalidate the business case; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1084,CAPEX-1084,Productize E-Business Platforms,HQ,75,High,Missing approval; Budget overrun 25.6%; Project delayed by 36 days,Hold further spend until approval is obtained; Request variance explanation and approval; Review delivery plan and capitalization timing,69584.71,Open
