project_id,project_name,location,approved_budget,actual_spend,approval_flag,capitalization_rule,start_date,planned_end_date,actual_end_date,expected_roi,supporting_docs_flag
CAPEX-1001,Grow Customized Initiatives,Plant B,408353.0,116537.23,1,Capitalize,2025-06-25,2026-01-02,2026-02-22,0.118,1
CAPEX-1002,Monetize Wireless Partnerships,HQ,45701.0,62942.08,1,Expense,2026-01-03,2026-06-11,2026-08-04,0.253,0
CAPEX-1003,Deploy Leading-Edge Solutions,HQ,47075.0,48988.02,1,Review Required,2025-05-18,2025-12-26,2026-04-10,0.315,1
CAPEX-1004,Extend Rich Networks,Plant A,319457.0,145356.68,1,Capitalize,2026-01-01,2026-02-07,2026-04-07,0.252,1
CAPEX-1005,Optimize User-Centric Users,Plant A,342631.0,258032.19,1,Capitalize,2026-05-22,2026-10-30,2027-02-23,0.206,1
CAPEX-1006,Architect Compelling Paradigms,Plant C,215592.0,150437.15,0,Capitalize,2025-08-23,2025-11-04,2025-11-02,-0.097,1
CAPEX-1007,Whiteboard Viral Vortals,HQ,25640.0,36801.63,1,Expense,2025-05-27,2025-10-28,2025-12-22,0.018,1
CAPEX-1008,Engage Dynamic Action-Items,Plant C,96954.0,139844.24,1,Expense,2026-04-19,2026-09-15,2026-12-22,0.231,1
CAPEX-1009,Synthesize Back-End Interfaces,Plant B,462628.0,299804.88,1,Expense,2026-01-25,2026-07-22,2026-10-16,-0.082,1
CAPEX-1010,Expedite Viral Schemas,Plant B,57042.0,31692.54,1,Capitalize,2026-05-17,2026-10-18,2027-01-10,-0.06,0
CAPEX-1011,Incentivize Front-End Portals,Plant A,246608.0,92339.59,1,Capitalize,2026-01-18,2026-06-08,2026-05-29,0.065,1
CAPEX-1012,Extend Efficient Methodologies,Plant B,260531.0,323396.29,1,Review Required,2025-09-29,2026-04-09,2026-06-15,-0.013,1
CAPEX-1013,Productize 24/365 Infrastructures,HQ,257851.0,192730.47,1,Capitalize,2025-11-28,2026-04-14,2026-06-27,0.015,1
CAPEX-1014,Expedite Global E-Services,Plant B,179635.0,232780.57,1,Capitalize,2026-03-08,2026-08-10,2026-11-12,-0.067,1
CAPEX-1015,Generate Scalable Methodologies,Plant A,75587.0,43946.37,1,Expense,2025-10-22,2026-01-03,2026-03-15,0.029,1
CAPEX-1016,Incentivize Seamless Web-Readiness,Plant B,300297.0,331794.88,1,Capitalize,2026-01-29,2026-04-15,2026-07-15,0.264,1
CAPEX-1017,Cultivate Compelling Vortals,Plant A,179676.0,240760.11,1,Review Required,2026-02-04,2026-07-05,2026-06-15,-0.016,1
CAPEX-1018,Brand Killer Experiences,HQ,123990.0,125259.41,1,Review Required,2026-01-21,2026-03-27,2026-04-09,-0.1,0
CAPEX-1019,Transition Strategic Deliverables,Plant B,99464.0,134252.27,1,Capitalize,2025-05-17,2025-07-31,2025-09-27,0.226,1
CAPEX-1020,Synergize Compelling Methodologies,Plant C,422702.0,225954.78,1,Expense,2025-10-02,2026-01-03,2026-02-10,0.281,1
CAPEX-1021,Maximize Back-End Schemas,HQ,13699.0,3666.46,1,Expense,2025-12-20,2026-02-18,2026-05-21,0.06,1
CAPEX-1022,Architect Global Infrastructures,Plant A,291947.0,172447.53,1,Review Required,2025-12-20,2026-01-24,2026-03-24,0.295,1
CAPEX-1023,Synergize Integrated Networks,Plant C,50794.0,55408.17,1,Capitalize,2025-05-20,2025-10-13,2025-10-08,-0.014,1
CAPEX-1024,Strategize Cutting-Edge Deliverables,Plant C,299755.0,169001.11,1,Capitalize,2025-05-22,2025-12-02,2026-02-05,0.012,1
CAPEX-1025,Drive Front-End Metrics,Plant C,351201.0,210884.11,1,Capitalize,2025-11-22,2026-04-08,2026-04-05,0.159,0
CAPEX-1026,Streamline Seamless Eyeballs,Plant C,76176.0,72722.04,1,Review Required,2025-08-31,2026-04-30,2026-05-16,0.089,0
CAPEX-1027,Engage Distributed Schemas,Plant C,328559.0,87906.93,0,Capitalize,2025-12-15,2026-03-13,2026-05-30,0.335,1
CAPEX-1028,Streamline Viral Experiences,Plant C,445914.0,316392.02,1,Expense,2025-05-26,2025-08-29,2025-09-06,0.122,1
CAPEX-1029,Envisioneer Back-End Experiences,HQ,421333.0,436169.73,1,Capitalize,2025-12-04,2026-03-06,2026-02-26,0.003,1
CAPEX-1030,Grow B2B E-Tailers,Plant A,408211.0,455199.69,1,Expense,2025-12-02,2026-06-04,2026-06-16,0.178,1
CAPEX-1031,Utilize Compelling Channels,Plant B,141920.0,182279.45,1,Review Required,2025-05-21,2026-01-16,2026-03-22,-0.023,1
CAPEX-1032,Extend Bricks-And-Clicks Eyeballs,HQ,172334.0,127486.3,1,Capitalize,2025-09-27,2026-05-24,2026-08-20,0.04,1
CAPEX-1033,Expedite B2C Infrastructures,Plant C,465103.0,254804.68,1,Review Required,2025-09-14,2026-04-12,2026-08-03,0.347,1
CAPEX-1034,Utilize One-To-One Channels,Plant A,398088.0,563469.4,1,Capitalize,2025-05-26,2025-07-26,2025-10-08,0.042,1
CAPEX-1035,Optimize Dynamic Content,HQ,116117.0,48655.18,1,Expense,2025-09-21,2025-11-24,2025-12-05,0.212,1
CAPEX-1036,Expedite Visionary Bandwidth,Plant B,260477.0,76240.63,1,Capitalize,2025-06-15,2026-01-13,2026-01-30,0.194,1
CAPEX-1037,Whiteboard Visionary E-Services,Plant B,131068.0,42001.68,0,Capitalize,2026-04-23,2026-12-15,2027-03-06,0.199,1
CAPEX-1038,Deploy Scalable Architectures,HQ,285852.0,89659.21,0,Expense,2025-08-30,2026-04-23,2026-07-03,0.017,0
CAPEX-1039,Iterate Synergistic Models,Plant C,368496.0,188094.3,1,Capitalize,2025-10-31,2026-03-24,2026-06-12,0.246,1
CAPEX-1040,Deploy Robust Content,Plant B,262830.0,263810.05,1,Expense,2026-05-07,2026-08-09,2026-12-03,0.251,1
CAPEX-1041,Unleash Interactive Methodologies,HQ,94756.0,60656.43,0,Capitalize,2025-08-05,2025-09-17,2025-12-30,0.184,1
CAPEX-1042,Disintermediate 24/7 Schemas,Plant A,302303.0,124124.9,1,Capitalize,2025-12-11,2026-05-22,2026-05-16,0.303,1
CAPEX-1043,Extend B2B Portals,Plant A,423507.0,306845.7,1,Review Required,2025-06-10,2025-07-10,2025-09-13,0.087,1
