project_id,project_name,location,approved_budget,actual_spend,approval_flag,capitalization_rule,start_date,planned_end_date,actual_end_date,expected_roi,supporting_docs_flag,budget_variance,budget_variance_pct,delay_days
CAPEX-1001,Grow Customized Initiatives,Plant B,408353.0,116537.23,1,Capitalize,2025-06-25,2026-01-02,2026-02-22,0.118,1,-291815.77,-0.715,51
CAPEX-1002,Monetize Wireless Partnerships,HQ,45701.0,62942.08,1,Expense,2026-01-03,2026-06-11,2026-08-04,0.253,0,17241.08,0.377,54
CAPEX-1003,Deploy Leading-Edge Solutions,HQ,47075.0,48988.02,1,Review Required,2025-05-18,2025-12-26,2026-04-10,0.315,1,1913.0199999999968,0.041,105
CAPEX-1004,Extend Rich Networks,Plant A,319457.0,145356.68,1,Capitalize,2026-01-01,2026-02-07,2026-04-07,0.252,1,-174100.32,-0.545,59
CAPEX-1005,Optimize User-Centric Users,Plant A,342631.0,258032.19,1,Capitalize,2026-05-22,2026-10-30,2027-02-23,0.206,1,-84598.81,-0.247,116
CAPEX-1006,Architect Compelling Paradigms,Plant C,215592.0,150437.15,0,Capitalize,2025-08-23,2025-11-04,2025-11-02,-0.097,1,-65154.850000000006,-0.302,-2
CAPEX-1007,Whiteboard Viral Vortals,HQ,25640.0,36801.63,1,Expense,2025-05-27,2025-10-28,2025-12-22,0.018,1,11161.629999999997,0.435,55
CAPEX-1008,Engage Dynamic Action-Items,Plant C,96954.0,139844.24,1,Expense,2026-04-19,2026-09-15,2026-12-22,0.231,1,42890.23999999999,0.442,98
CAPEX-1009,Synthesize Back-End Interfaces,Plant B,462628.0,299804.88,1,Expense,2026-01-25,2026-07-22,2026-10-16,-0.082,1,-162823.12,-0.352,86
CAPEX-1010,Expedite Viral Schemas,Plant B,57042.0,31692.54,1,Capitalize,2026-05-17,2026-10-18,2027-01-10,-0.06,0,-25349.46,-0.444,84
CAPEX-1011,Incentivize Front-End Portals,Plant A,246608.0,92339.59,1,Capitalize,2026-01-18,2026-06-08,2026-05-29,0.065,1,-154268.41,-0.626,-10
CAPEX-1012,Extend Efficient Methodologies,Plant B,260531.0,323396.29,1,Review Required,2025-09-29,2026-04-09,2026-06-15,-0.013,1,62865.28999999998,0.241,67
CAPEX-1013,Productize 24/365 Infrastructures,HQ,257851.0,192730.47,1,Capitalize,2025-11-28,2026-04-14,2026-06-27,0.015,1,-65120.53,-0.253,74
CAPEX-1014,Expedite Global E-Services,Plant B,179635.0,232780.57,1,Capitalize,2026-03-08,2026-08-10,2026-11-12,-0.067,1,53145.57000000001,0.296,94
CAPEX-1015,Generate Scalable Methodologies,Plant A,75587.0,43946.37,1,Expense,2025-10-22,2026-01-03,2026-03-15,0.029,1,-31640.629999999997,-0.419,71
CAPEX-1016,Incentivize Seamless Web-Readiness,Plant B,300297.0,331794.88,1,Capitalize,2026-01-29,2026-04-15,2026-07-15,0.264,1,31497.880000000005,0.105,91
CAPEX-1017,Cultivate Compelling Vortals,Plant A,179676.0,240760.11,1,Review Required,2026-02-04,2026-07-05,2026-06-15,-0.016,1,61084.109999999986,0.34,-20
CAPEX-1018,Brand Killer Experiences,HQ,123990.0,125259.41,1,Review Required,2026-01-21,2026-03-27,2026-04-09,-0.1,0,1269.4100000000035,0.01,13
CAPEX-1019,Transition Strategic Deliverables,Plant B,99464.0,134252.27,1,Capitalize,2025-05-17,2025-07-31,2025-09-27,0.226,1,34788.26999999999,0.35,58
CAPEX-1020,Synergize Compelling Methodologies,Plant C,422702.0,225954.78,1,Expense,2025-10-02,2026-01-03,2026-02-10,0.281,1,-196747.22,-0.465,38
CAPEX-1021,Maximize Back-End Schemas,HQ,13699.0,3666.46,1,Expense,2025-12-20,2026-02-18,2026-05-21,0.06,1,-10032.54,-0.732,92
CAPEX-1022,Architect Global Infrastructures,Plant A,291947.0,172447.53,1,Review Required,2025-12-20,2026-01-24,2026-03-24,0.295,1,-119499.47,-0.409,59
CAPEX-1023,Synergize Integrated Networks,Plant C,50794.0,55408.17,1,Capitalize,2025-05-20,2025-10-13,2025-10-08,-0.014,1,4614.169999999998,0.091,-5
CAPEX-1024,Strategize Cutting-Edge Deliverables,Plant C,299755.0,169001.11,1,Capitalize,2025-05-22,2025-12-02,2026-02-05,0.012,1,-130753.89000000001,-0.436,65
CAPEX-1025,Drive Front-End Metrics,Plant C,351201.0,210884.11,1,Capitalize,2025-11-22,2026-04-08,2026-04-05,0.159,0,-140316.89,-0.4,-3
CAPEX-1026,Streamline Seamless Eyeballs,Plant C,76176.0,72722.04,1,Review Required,2025-08-31,2026-04-30,2026-05-16,0.089,0,-3453.9600000000064,-0.045,16
CAPEX-1027,Engage Distributed Schemas,Plant C,328559.0,87906.93,0,Capitalize,2025-12-15,2026-03-13,2026-05-30,0.335,1,-240652.07,-0.732,78
CAPEX-1028,Streamline Viral Experiences,Plant C,445914.0,316392.02,1,Expense,2025-05-26,2025-08-29,2025-09-06,0.122,1,-129521.97999999998,-0.29,8
CAPEX-1029,Envisioneer Back-End Experiences,HQ,421333.0,436169.73,1,Capitalize,2025-12-04,2026-03-06,2026-02-26,0.003,1,14836.729999999981,0.035,-8
CAPEX-1030,Grow B2B E-Tailers,Plant A,408211.0,455199.69,1,Expense,2025-12-02,2026-06-04,2026-06-16,0.178,1,46988.69,0.115,12
CAPEX-1031,Utilize Compelling Channels,Plant B,141920.0,182279.45,1,Review Required,2025-05-21,2026-01-16,2026-03-22,-0.023,1,40359.45000000001,0.284,65
CAPEX-1032,Extend Bricks-And-Clicks Eyeballs,HQ,172334.0,127486.3,1,Capitalize,2025-09-27,2026-05-24,2026-08-20,0.04,1,-44847.7,-0.26,88
CAPEX-1033,Expedite B2C Infrastructures,Plant C,465103.0,254804.68,1,Review Required,2025-09-14,2026-04-12,2026-08-03,0.347,1,-210298.32,-0.452,113
CAPEX-1034,Utilize One-To-One Channels,Plant A,398088.0,563469.4,1,Capitalize,2025-05-26,2025-07-26,2025-10-08,0.042,1,165381.40000000002,0.415,74
CAPEX-1035,Optimize Dynamic Content,HQ,116117.0,48655.18,1,Expense,2025-09-21,2025-11-24,2025-12-05,0.212,1,-67461.82,-0.581,11
CAPEX-1036,Expedite Visionary Bandwidth,Plant B,260477.0,76240.63,1,Capitalize,2025-06-15,2026-01-13,2026-01-30,0.194,1,-184236.37,-0.707,17
CAPEX-1037,Whiteboard Visionary E-Services,Plant B,131068.0,42001.68,0,Capitalize,2026-04-23,2026-12-15,2027-03-06,0.199,1,-89066.32,-0.68,81
CAPEX-1038,Deploy Scalable Architectures,HQ,285852.0,89659.21,0,Expense,2025-08-30,2026-04-23,2026-07-03,0.017,0,-196192.78999999998,-0.686,71
CAPEX-1039,Iterate Synergistic Models,Plant C,368496.0,188094.3,1,Capitalize,2025-10-31,2026-03-24,2026-06-12,0.246,1,-180401.7,-0.49,80
CAPEX-1040,Deploy Robust Content,Plant B,262830.0,263810.05,1,Expense,2026-05-07,2026-08-09,2026-12-03,0.251,1,980.0499999999884,0.004,116
CAPEX-1041,Unleash Interactive Methodologies,HQ,94756.0,60656.43,0,Capitalize,2025-08-05,2025-09-17,2025-12-30,0.184,1,-34099.57,-0.36,104
CAPEX-1042,Disintermediate 24/7 Schemas,Plant A,302303.0,124124.9,1,Capitalize,2025-12-11,2026-05-22,2026-05-16,0.303,1,-178178.1,-0.589,-6
CAPEX-1043,Extend B2B Portals,Plant A,423507.0,306845.7,1,Review Required,2025-06-10,2025-07-10,2025-09-13,0.087,1,-116661.29999999999,-0.275,65
CAPEX-1044,Facilitate Virtual Roi,Plant A,75283.0,50484.4,0,Review Required,2026-04-06,2026-06-15,2026-08-20,-0.047,1,-24798.6,-0.329,66
CAPEX-1045,Re-Contextualize 24/7 Initiatives,HQ,484280.0,682510.91,1,Capitalize,2026-03-31,2026-08-14,2026-10-30,0.262,1,198230.91000000003,0.409,77
CAPEX-1046,Implement Customized Systems,Plant C,225385.0,126001.35,1,Capitalize,2025-07-05,2026-01-26,2026-03-05,-0.068,1,-99383.65,-0.441,38
CAPEX-1047,Expedite End-To-End Web-Readiness,Plant C,465307.0,355902.39,1,Capitalize,2025-10-24,2026-06-29,2026-08-05,0.034,1,-109404.60999999999,-0.235,37
CAPEX-1048,Re-Contextualize Intuitive Action-Items,Plant C,50531.0,57688.67,1,Capitalize,2026-04-10,2026-11-06,2026-10-27,0.301,1,7157.669999999998,0.142,-10
CAPEX-1049,Reinvent Cross-Platform Synergies,Plant A,444480.0,625019.56,1,Expense,2025-05-06,2026-01-02,2026-04-03,-0.058,1,180539.56000000006,0.406,91
CAPEX-1050,Architect E-Business Paradigms,Plant B,499877.0,463678.32,1,Capitalize,2026-04-16,2026-07-31,2026-09-01,0.055,1,-36198.67999999999,-0.072,32
CAPEX-1051,Architect Visionary Content,Plant A,193138.0,143397.71,1,Capitalize,2025-06-12,2025-09-25,2026-01-22,0.297,0,-49740.29000000001,-0.258,119
CAPEX-1052,Disintermediate Clicks-And-Mortar Interfaces,Plant C,79460.0,25066.58,1,Capitalize,2025-11-04,2026-01-31,2026-05-28,0.018,1,-54393.42,-0.685,117
CAPEX-1053,Transition Intuitive Markets,Plant C,99272.0,120480.18,1,Capitalize,2025-09-16,2026-03-27,2026-03-19,0.349,0,21208.179999999993,0.214,-8
CAPEX-1054,Orchestrate Dynamic Web-Readiness,Plant B,271418.0,128192.41,1,Expense,2025-07-15,2026-02-19,2026-02-20,0.185,0,-143225.59,-0.528,1
CAPEX-1055,Re-Contextualize Dynamic Action-Items,Plant B,127030.0,65608.26,1,Expense,2025-08-05,2026-03-03,2026-02-27,0.218,1,-61421.740000000005,-0.484,-4
CAPEX-1056,Unleash Dot-Com Vortals,Plant B,412151.0,578752.03,1,Capitalize,2025-09-16,2026-02-05,2026-03-31,0.332,1,166601.03000000003,0.404,54
CAPEX-1057,Brand Clicks-And-Mortar Solutions,Plant C,31119.0,44825.14,1,Expense,2025-05-21,2026-01-13,2026-03-22,0.247,1,13706.14,0.44,68
CAPEX-1058,Optimize Rich Niches,Plant B,378927.0,397462.39,1,Expense,2025-06-19,2025-08-01,2025-07-24,0.15,1,18535.390000000014,0.049,-8
CAPEX-1059,Syndicate Value-Added Supply-Chains,HQ,144614.0,101763.68,1,Capitalize,2025-05-04,2025-07-08,2025-09-07,0.171,1,-42850.32000000001,-0.296,61
CAPEX-1060,Disintermediate Leading-Edge Mindshare,Plant C,269682.0,117768.07,1,Expense,2026-04-21,2026-06-20,2026-10-06,0.174,1,-151913.93,-0.563,108
CAPEX-1061,Re-Intermediate Vertical Infrastructures,Plant B,54662.0,76004.11,1,Capitalize,2025-10-30,2026-04-03,2026-04-05,-0.045,1,21342.11,0.39,2
CAPEX-1062,Embrace Scalable Initiatives,HQ,449961.0,375034.03,1,Capitalize,2025-11-05,2026-04-03,2026-05-14,0.321,0,-74926.96999999997,-0.167,41
CAPEX-1063,Incubate Customized Markets,Plant A,147165.0,173049.62,1,Expense,2025-10-29,2025-12-26,2025-12-20,0.315,1,25884.619999999995,0.176,-6
CAPEX-1064,Innovate Front-End Markets,Plant B,494423.0,247387.98,1,Capitalize,2026-03-30,2026-07-16,2026-10-20,0.197,1,-247035.02,-0.5,96
CAPEX-1065,Repurpose Robust Relationships,Plant A,327188.0,81623.73,1,Expense,2025-09-24,2026-02-27,2026-06-13,0.186,1,-245564.27000000002,-0.751,106
CAPEX-1066,Drive Viral Channels,Plant A,485896.0,456199.8,1,Expense,2025-06-27,2025-09-17,2025-09-21,0.187,1,-29696.20000000001,-0.061,4
CAPEX-1067,Morph Magnetic Applications,Plant B,379115.0,163080.43,1,Capitalize,2025-05-22,2025-06-30,2025-08-23,0.054,1,-216034.57,-0.57,54
CAPEX-1068,Generate One-To-One Synergies,Plant A,339906.0,312975.5,1,Capitalize,2025-08-18,2025-12-22,2026-02-14,0.299,1,-26930.5,-0.079,54
CAPEX-1069,Streamline Bleeding-Edge Schemas,Plant B,212403.0,196588.44,1,Capitalize,2025-06-21,2025-10-12,2025-11-24,-0.093,1,-15814.559999999998,-0.074,43
CAPEX-1070,Empower World-Class Relationships,Plant A,264800.0,188123.31,1,Review Required,2026-01-27,2026-07-12,2026-08-16,0.157,1,-76676.69,-0.29,35
CAPEX-1071,Harness Scalable E-Services,Plant B,93797.0,96685.96,1,Capitalize,2025-11-19,2026-02-27,2026-03-26,0.24,1,2888.9600000000064,0.031,27
CAPEX-1072,Implement World-Class Supply-Chains,Plant B,286861.0,142796.59,1,Review Required,2026-03-13,2026-09-22,2026-11-08,0.171,1,-144064.41,-0.502,47
CAPEX-1073,Deliver Open-Source E-Tailers,Plant B,475398.0,271024.9,1,Capitalize,2026-05-02,2026-07-28,2026-11-03,0.068,1,-204373.09999999998,-0.43,98
CAPEX-1074,Evolve Integrated E-Markets,Plant B,263267.0,168617.07,1,Capitalize,2026-02-23,2026-06-11,2026-10-05,0.1,1,-94649.93,-0.36,116
CAPEX-1075,Brand Granular Relationships,Plant A,319283.0,112912.64,1,Capitalize,2025-07-20,2025-12-28,2026-03-03,0.241,1,-206370.36,-0.646,65
CAPEX-1076,Maximize Revolutionary Models,Plant A,483367.0,356057.94,1,Capitalize,2026-04-20,2026-09-10,2027-01-01,0.168,1,-127309.06,-0.263,113
CAPEX-1077,Repurpose Strategic Experiences,HQ,66064.0,64326.03,1,Capitalize,2026-04-06,2026-11-30,2027-03-01,-0.002,1,-1737.9700000000012,-0.026,91
CAPEX-1078,Whiteboard Revolutionary E-Commerce,Plant A,345349.0,202638.85,1,Expense,2026-02-25,2026-10-22,2026-12-31,0.038,1,-142710.15,-0.413,70
CAPEX-1079,Engage Cutting-Edge Supply-Chains,Plant C,49232.0,39414.79,1,Capitalize,2025-05-29,2025-10-21,2025-10-24,-0.012,1,-9817.21,-0.199,3
CAPEX-1080,Disintermediate Turn-Key Models,Plant C,218816.0,117127.15,1,Capitalize,2025-12-11,2026-02-12,2026-02-05,0.263,0,-101688.85,-0.465,-7
CAPEX-1081,Unleash Seamless Infrastructures,HQ,252760.0,289113.89,1,Capitalize,2026-01-24,2026-04-12,2026-03-25,0.279,1,36353.890000000014,0.144,-18
CAPEX-1082,Synergize Out-Of-The-Box Applications,Plant A,436483.0,146144.17,1,Capitalize,2026-05-05,2026-09-23,2026-10-06,0.256,1,-290338.82999999996,-0.665,13
CAPEX-1083,Strategize Extensible Functionalities,Plant B,36702.0,10474.88,1,Capitalize,2026-04-05,2026-11-15,2027-01-06,-0.085,0,-26227.120000000003,-0.715,52
CAPEX-1084,Productize E-Business Platforms,HQ,271842.0,341426.71,0,Capitalize,2026-04-18,2026-06-27,2026-08-02,0.251,1,69584.71000000002,0.256,36
CAPEX-1085,Reinvent Killer Platforms,Plant C,49785.0,50084.12,1,Capitalize,2025-08-15,2025-09-20,2025-10-09,-0.065,1,299.1200000000026,0.006,19
